Bib,ID,3.9k,Chip Time,Finish Time
50537,7365,0:23:18,0:40:12,0:40:43
53123,7366,0:23:02,0:40:14,0:40:34
50170,7367,0:21:16,0:40:15,0:41:01
50371,7368,0:21:15,0:40:15,0:41:00
53455,7369,0:22:33,0:40:16,0:40:50
50439,7370,0:22:19,0:40:17,0:40:50
53895,7371,0:22:05,0:40:17,0:40:29
50359,7372,0:22:33,0:40:17,0:40:50
50317,7373,0:21:03,0:40:19,0:40:23
50447,7374,0:21:45,0:40:22,0:40:28
50269,7375,0:22:08,0:40:25,0:40:40
53281,7376,0:22:06,0:40:25,0:40:47
53026,7377,0:22:34,0:40:26,0:40:44
53373,7378,0:22:54,0:40:27,0:40:36
53538,7379,0:22:50,0:40:28,0:41:37
54029,7380,0:23:14,0:40:29,0:40:32
53767,7381,0:21:57,0:40:33,0:41:11
50279,7382,0:20:58,0:40:33,0:41:09
53347,7383,0:20:09,0:40:33,0:41:09
50278,7384,0:21:00,0:40:35,0:41:11
53398,7385,0:20:49,0:40:36,0:40:46
53344,7386,0:20:57,0:40:36,0:41:11
53700,7387,0:22:38,0:40:36,0:41:41
53313,7388,0:22:50,0:40:36,0:41:05
50265,7389,0:22:35,0:40:37,0:40:46
50449,7390,0:22:39,0:40:37,0:41:41
53345,7391,0:20:59,0:40:37,0:41:09
54190,7392,0:22:15,0:40:38,0:40:47
54211,7393,0:22:15,0:40:38,0:40:40
53343,7394,0:20:55,0:40:39,0:41:11
53902,7395,0:21:38,0:40:40,0:40:56
53793,7396,0:22:00,0:40:41,0:41:29
53388,7397,0:22:28,0:40:43,0:40:44
53600,7398,0:21:58,0:40:45,0:41:07
53289,7399,0:22:36,0:40:45,0:41:17
50249,7400,0:22:34,0:40:46,0:41:17
53301,7401,0:22:35,0:40:46,0:41:17
53068,7402,0:23:01,0:40:48,0:41:06
53141,7403,0:22:21,0:40:51,0:40:57
53362,7404,0:23:01,0:40:59,0:41:07
53442,7405,0:22:42,0:41:00,0:41:25
53601,7406,0:22:58,0:41:02,0:41:09
53802,7407,0:22:25,0:41:02,0:41:35
53433,7408,0:22:43,0:41:02,0:41:04
53465,7409,0:22:44,0:41:03,0:41:04
50540,7410,0:23:21,0:41:04,0:41:20
53820,7411,0:23:20,0:41:04,0:41:20
50293,7412,0:23:01,0:41:07,0:41:07
50437,7413,0:22:13,0:41:15,0:41:36
53583,7414,0:22:20,0:41:16,0:41:36
50048,7415,,0:41:16,0:41:43
50578,7416,0:22:56,0:41:19,0:41:50
53664,7417,0:22:56,0:41:19,0:41:50
53486,7418,0:22:58,0:41:20,0:41:29
50608,7419,0:23:55,0:41:22,0:41:34
50260,7420,0:23:30,0:41:23,0:41:51
50605,7421,,0:41:24,0:41:33
53580,7422,,0:41:27,0:41:42
50464,7423,0:24:16,0:41:30,0:41:40
50643,7424,0:23:48,0:41:30,0:41:35
50662,7425,,0:41:30,0:41:30
50251,7426,0:23:49,0:41:31,0:41:40
53296,7427,0:22:51,0:41:31,0:41:43
53903,7428,,0:41:32,0:41:32
50504,7429,0:23:17,0:41:32,0:41:42
53085,7430,0:23:47,0:41:33,0:42:10
53867,7431,0:21:07,0:41:33,0:42:18
50141,7432,0:23:47,0:41:34,0:42:11
50038,7433,,0:41:34,0:42:01
53327,7434,0:23:33,0:41:35,0:41:47
50385,7435,0:22:51,0:41:42,0:42:04
50655,7436,,0:41:43,0:42:12
54040,7437,,0:41:50,0:42:17
53046,7438,,0:41:50,0:42:16
54048,7439,0:25:07,0:41:53,0:42:01
54139,7440,0:23:14,0:41:54,0:42:35
50024,7441,0:23:02,0:41:57,0:42:14
50498,7442,0:23:58,0:41:57,0:42:14
50050,7443,0:23:35,0:41:58,0:42:19
53355,7444,0:23:55,0:42:01,0:42:32
53855,7445,0:22:56,0:42:01,0:42:32
50015,7446,0:23:51,0:42:03,0:42:39
54115,7447,0:23:10,0:42:07,0:42:29
53435,7448,0:22:53,0:42:08,0:42:14
53497,7449,0:22:53,0:42:09,0:42:15
50016,7450,0:23:17,0:42:10,0:42:29
50017,7451,0:23:17,0:42:10,0:42:29
50188,7452,0:24:36,0:42:15,0:42:25
53860,7453,0:22:44,0:42:18,0:42:48
53441,7454,0:23:08,0:42:18,0:42:46
50028,7455,0:22:37,0:42:23,0:42:44
53492,7456,0:23:34,0:42:32,0:42:34
53425,7457,0:23:33,0:42:32,0:42:34
50571,7458,0:24:45,0:42:34,0:42:35
50570,7459,0:24:42,0:42:35,0:42:37
54137,7460,0:23:08,0:42:35,0:43:32
50383,7461,0:23:17,0:42:36,0:42:39
53295,7462,0:23:17,0:42:36,0:42:39
53477,7463,0:23:46,0:42:39,0:42:48
53366,7464,0:23:46,0:42:40,0:42:50
50314,7465,0:23:24,0:42:48,0:43:18
50712,7466,0:23:41,0:42:49,0:43:28
53175,7467,0:23:34,0:42:53,0:43:02
50626,7468,0:23:23,0:42:54,0:43:39
53168,7469,0:22:47,0:42:56,0:43:47
54111,7470,0:23:25,0:42:58,0:43:40
50328,7471,,0:42:58,0:43:09
50018,7472,0:24:11,0:42:59,0:43:08
50224,7473,0:24:38,0:43:00,0:43:10
54049,7474,0:23:27,0:43:00,0:43:40
50549,7475,0:26:21,0:43:00,0:43:00
53195,7476,0:24:46,0:43:02,0:43:12
50482,7477,0:25:20,0:43:05,0:43:23
53020,7478,0:23:53,0:43:08,0:43:32
50250,7479,0:24:36,0:43:08,0:43:14
50190,7480,0:21:17,0:43:09,0:43:47
50348,7481,0:25:11,0:43:10,0:43:11
50180,7482,0:23:55,0:43:11,0:43:24
50661,7483,0:24:48,0:43:11,0:43:18
50718,7484,0:23:12,0:43:13,0:43:45
50387,7485,0:24:56,0:43:13,0:43:16
53033,7486,0:23:41,0:43:16,0:43:24
50451,7487,0:24:42,0:43:16,0:43:34
50377,7488,0:23:40,0:43:17,0:43:25
50163,7489,0:24:08,0:43:19,0:43:54
53162,7490,0:24:08,0:43:19,0:43:54
50158,7491,0:24:09,0:43:20,0:43:54
50161,7492,0:33:12,0:43:21,0:43:26
53701,7493,0:24:12,0:43:22,0:43:42
50746,7494,0:23:43,0:43:22,0:43:47
53786,7495,0:23:42,0:43:24,0:43:39
54143,7496,0:25:35,0:43:25,0:43:36
53209,7497,0:26:03,0:43:26,0:43:27
50247,7498,0:24:26,0:43:26,0:43:51
53491,7499,0:23:20,0:43:26,0:43:33
50047,7500,0:24:32,0:43:28,0:43:33
50045,7501,0:24:20,0:43:29,0:44:10
53972,7502,0:24:28,0:43:31,0:43:33
