Bib,ID,14.4k,25.8k,32.3k,37.9k,Chip Time,Finish Time
40534,00165,1:08:04,0:54:00,0:30:03,0:25:58,3:19:40,3:19:40
40268,00166,1:01:08,0:48:31,0:29:50,0:30:22,3:19:40,3:19:40
40158,00167,1:01:11,0:48:30,0:29:51,0:30:21,3:19:42,3:19:42
40097,00168,1:07:34,0:53:54,0:30:22,0:26:26,3:19:42,3:19:42
40167,00169,1:08:40,0:54:00,0:30:08,0:25:53,3:19:43,3:19:43
40031,00170,1:03:44,0:52:02,0:30:39,0:29:44,3:19:59,3:19:59
40257,00171,1:06:57,0:53:11,0:30:14,0:26:32,3:20:08,3:20:08
40705,00172,1:08:52,0:54:08,0:30:13,0:26:13,3:20:12,3:20:12
43033,00173,1:07:35,0:53:56,0:30:20,0:26:31,3:20:12,3:20:12
40055,00174,1:07:01,0:53:57,0:30:48,0:26:27,3:20:19,3:20:19
43121,00175,1:07:03,0:53:43,0:29:58,0:26:59,3:20:26,3:20:26
40864,00176,1:08:45,0:54:04,0:30:39,0:26:27,3:20:31,3:20:31
40059,00177,1:03:00,0:52:33,0:31:09,0:28:10,3:20:32,3:20:32
41167,00178,1:10:32,0:55:16,0:29:33,0:25:12,3:20:37,3:20:37
40266,00179,1:07:56,0:53:51,0:30:30,0:26:19,3:20:46,3:20:46
40489,00180,1:08:11,0:54:28,0:30:53,0:26:26,3:20:49,3:20:49
40063,00181,1:05:15,0:53:38,0:30:28,0:27:48,3:20:50,3:20:50
43117,00182,1:09:01,0:54:35,0:29:42,0:26:39,3:20:50,3:20:50
43115,00183,1:09:02,0:54:38,0:29:51,0:26:27,3:20:50,3:20:50
40905,00184,1:05:02,0:53:19,0:32:00,0:28:01,3:20:51,3:20:51
40543,00185,1:06:55,0:53:12,0:30:14,0:27:47,3:21:07,3:21:07
40237,00186,1:07:53,0:53:52,0:30:30,0:26:19,3:21:26,3:21:26
40315,00187,1:09:08,0:54:38,0:29:56,0:26:19,3:21:32,3:21:32
40796,00188,1:08:02,0:54:01,0:30:27,0:26:57,3:21:39,3:21:39
43054,00189,1:08:02,0:54:01,0:30:28,0:26:56,3:21:39,3:21:39
40881,00190,1:01:23,0:52:53,0:30:54,0:31:17,3:21:42,3:21:42
40562,00191,1:09:02,0:54:38,0:29:51,0:26:26,3:21:46,3:21:46
40913,00192,1:09:05,0:54:48,0:30:18,0:25:56,3:21:47,3:21:47
40353,00193,1:09:25,0:54:41,0:30:29,0:26:24,3:22:10,3:22:10
40175,00194,1:06:46,0:52:49,0:31:28,0:28:28,3:22:16,3:22:16
40360,00195,1:10:42,0:54:05,0:29:38,0:25:07,3:22:22,3:22:22
40672,00196,1:07:27,0:53:42,0:30:13,0:26:43,3:22:27,3:22:27
